Class	ID	Text
case-report	CGR494682	"Complex Small Supernumerary Marker Chromosome Leading to Partial 4q/21q Duplications: Clinical Implication and Review of the Literature Complex Small Supernumerary Marker Chromosome Leading to Partial 4q/21q Duplications: Clinical Implication and Review of the Literature Complex small marker chromosomes (sSMCs) consist of chromosomal material derived from more than 1 chromosome. Complex sSMCs derived from chromosomes 4 and 21 are rare, with only 7 cases reported. Here, we describe a patient who presented with a complex sSMC derived from a maternal translocation between chromosomes 4 and 21, which was revealed by G-banding, MLPA, and array techniques. The marker chromosome der(21)t(4;21)(q32.1; q21.2)mat is composed of a 25.6-Mb 21pterq21.2 duplication and a 32.1-Mb 4q32.1q35.2 duplication. In comparison to patients with sSMCs derived from chromosomes 4 and 21, our patient showed a similar phenotype with neuropsychomotor developmental delay and facial dysmorphism as the most important finding, being a composition of the findings found in pure 4q and 21q duplications. The wide range of phenotypes associated with sSMCs emphasizes the importance of detailed cytogenomic analyses for an accurate diagnosis, prognosis, and genetic counseling."
research-article	CGR494707	The Karyotype of the Hoatzin (Opisthocomus hoazin) - A Phylogenetic Enigma of the Neornithes The Karyotype of the Hoatzin (Opisthocomus hoazin) - A Phylogenetic Enigma of the Neornithes The hoatzin (Opisthocomus hoazin Müller, 1776) is a folivorous bird, endemic to the Amazonian region. It presents some unique characteristics, including wing claws and foregut fermentation, which make its phylogenetic relationship to other birds difficult to determine. There have been various attempts to place it among the Galliformes, Gruiformes, Musophagiformes, Cuculiformes, and Charadriiformes, but phylogenetic analyses always show low supporting values. Nowadays, the hoatzin is included in the monotypic order Opisthocomiformes, but the relationship of this order to other groups of birds is still unclear. Although its karyotype resembles the typical avian model, fissions of the syntenic groups corresponding to chicken chromosomes 1 and 2 and 2 fusions were found. The presence of 18S rDNA clusters in 2 pairs of microchromosomes is another derived character. Hence, different rearrangements were detected in the karyotype of the hoatzin, indicating it has been derived from the putative ancestral karyotype by the occurrence of fissions and fusions. However, as these rearrangements are not exclusive to O. hoazin, they do not clarify the phylogenetic position of this enigmatic species.
research-article	CGR494708	"Silurana Chromosomal Evolution: A New Piece to the Puzzle Silurana Chromosomal Evolution: A New Piece to the Puzzle The African clawed frogs of the subgenus Silurana comprise both diploid and tetraploid species. The root of the polyploidization event leading to the extant Xenopus calcaratus, X. mellotropicalis, and X. epitropicalis is not fully understood so far. In X. mellotropicalis, we previously proposed 2 evolutionary scenarios encompassing complete (scenario A) or incomplete (scenario B) translocation of a heterochromatic block from chromosome 9 to 2 in a diploid ancestor. To resolve this puzzle, we performed FISH coupled with tyramide signal amplification (FISH-TSA) using 5 X. tropicalis and X. mellotropicalis single copy gene probes (gyg2, cept1, fn1, ndufs1, and sf3b1) reflecting borders of the heterochromatic blocks in X. tropicalis chromosome 9 (XTR 9) and X. mellotropicalis chromosome 9b (XME 9b) and XME 2a. cDNA sequencing recognized both homoeologous genes in X. mellotropicalis. Comparison of gene physical mapping between X. tropicalis and X. mellotropicalis clearly confirmed complete rather than incomplete translocation t(9;2) of the heterochromatic block in the diploid predecessor and thus favored scenario A regarding the formation of an ancestral allotetraploid karyotype."
case-report	CGR494822	"A Familial Small Supernumerary Marker Chromosome 15 Associated with Cryptic Mosaicism with Two Different Additional Marker Chromosomes Derived de novo from Chromosome 9: Detailed Case Study and Implications for Recurrent Pregnancy Loss A Familial Small Supernumerary Marker Chromosome 15 Associated with Cryptic Mosaicism with Two Different Additional Marker Chromosomes Derived de novo from Chromosome 9: Detailed Case Study and Implications for Recurrent Pregnancy Loss We report a case of familial small supernumerary marker chromosome 15 in a phenotypically normal female with 4 recurrent spontaneous abortions and a healthy child. The initial karyotype showed a small, bisatellited, apparently metacentric marker chromosome, 47,XX,+idic(15)(q11.1), maternally inherited. The proband's mother was mosaic for the idic(15)(q11.1) without pregnancy loss. Reexamination of the proband's karyotype revealed cryptic mosaicism for 1 ring and 1 minute chromosome derived de novo from chromosome 9 in 2% of the metaphases. In FISH analysis, the patient's karyotype was mos 47,XX,+idic(15)(q11.1)mat[100]/49,XX,+idic(15)(q11.1)mat,+r(9;9;9;9),+der(9)dn[2]. The second spontaneous abortion had trisomy 9 (47,XX,+9); the third had mosaic trisomy 9 in 21% of the nuclei and isodicentric chromosome 15 in 36% of the nuclei (mos 48,XN,+9,+idic(15)(q11.1)/47,XN,+9/47,XN,+idic(15)(q11.1)/46,XN). The first and fourth abortions were not cytogenetically studied. The cause of the spontaneous abortions in this patient is likely the cryptic mosaicism for ring and minute chromosomes 9, and gonadal mosaicism is most probable, due to the 2 abortions."
case-report	CGR494871	Multiple Congenital Anomalies and Global Developmental Delay in a Patient with Interstitial 6q25.2q26 Deletion: A Diagnostic Odyssey Multiple Congenital Anomalies and Global Developmental Delay in a Patient with Interstitial 6q25.2q26 Deletion: A Diagnostic Odyssey Interstitial deletions involving 6q25 are rare chromosomal abnormalities associated with distinctive phenotypic features. We describe a 9-year-old boy who was followed from his infancy due to his multiple congenital anomalies and complex medical history. Over the years, a number of diagnoses were considered including Cornelia de Lange syndrome, Rubinstein-Taybi syndrome, as well as “a novel genetic disorder.” Various genetic tests, including a BAC-based array-CGH analysis, were reported as normal. Recently, a SNP-based microarray analysis was performed and showed an 11.1-Mb deletion from 6q25.2 to 6q26, including ARID1B and ZDHHC14. Recent literature suggests that the 6q25 deletion syndrome is a recognizable entity characterized by growth delay, developmental disabilities, microcephaly, hearing loss, and variable other malformations including cleft palate. These features overlap with those of Coffin-Siris syndrome, which is caused by deletions and loss-of-function mutations of ARID1B. Retrospectively, this patient has features resembling both Coffin-Siris and 6q25 microdeletion syndromes.
research-article	CGR495174	Vaccination and Host Marek's Disease-Resistance Genotype Significantly Reduce Oncogenic Gallid alphaherpesvirus 2 Telomere Integration in Host Birds Vaccination and Host Marek's Disease-Resistance Genotype Significantly Reduce Oncogenic Gallid alphaherpesvirus 2 Telomere Integration in Host Birds Marek's disease (MD) is an infectious disease characterized by lymphomas and high mortality in susceptible chickens. The causative and ubiquitous alpha-herpesvirus known as MD virus (MDV) integrates into host telomeres during early infection through latency, known to be an important phase for oncogenic transformation. Herein, we sought to determine the influence of vaccination and host genetics on the temporal dynamics of MDV-host genome interactions. We studied integration profiles using 2 MD vaccines that vary in protective efficacy in 2 genetic lines that differ in MD resistance/susceptibility. Virus integration of both oncogenic MDV and vaccine strains was observed in both MD susceptible and resistant birds, however, the lines differed in their dynamic telomere-integration profiles. Notably, the resistant host genotype exhibited a smaller percentage of replicating cells with the virus telomere-integrated only phenotype as compared to the susceptible genotype. Vaccination with Rispens, the most protective MD vaccine, also reduced the establishment of the virus telomere-integrated only phenotype, suggesting a significant role of the phenotype in MD lymphoma development. The effect of Rispens vaccination was most dramatic in the susceptible genotype. These results suggest important connections between vaccinal immunity, MDV telomere integration, virus-induced oncogenesis, and virus-host genome interactions in the context of host genetics and disease susceptibility.
research-article	CGR495199	Accumulation of Transposable Elements in Autosomes and Giant Sex Chromosomes of Omophoita (Chrysomelidae: Alticinae) Accumulation of Transposable Elements in Autosomes and Giant Sex Chromosomes of Omophoita (Chrysomelidae: Alticinae) Coleoptera is the most diverse order among insects, and comparative molecular cytogenetic studies in this group are lacking. The species of Omophoita (Oedionychina) possess a karyotype of 2n = 22 = 10II+X+Y. They are interesting models for evolutionary cytogenetic studies due to giant sex chromosomes which are asynaptic during meiosis. Transposable elements (TEs) confer plasticity and mobility to genomes and are considered hotspots for DNA double-strand breaks and chromosomal rearrangements. The objective of the present study was to verify the role of TEs in the karyotype and in the size expansion of the giant sex chromosomes in Omophoita. Thus, different TEs were characterized in the Omophoita genome and localized in the chromosomes by fluorescence in situ hybridization (FISH). The DNA sequencing data revealed identity with TE families Tc1/Mariner and RTE/L1-56_XT. FISH showed signals of all TEs in the karyotypes and a high accumulation in the sex chromosomes of the 3 Omophoita species analyzed. These data suggest that the genome size expansion and the origin of the giant sex chromosomes of Omophoita are due to an intensive genomic invasion of TEs, as those characterized here as Tc1/Mariner-Ooc and RTE-Ooc. Differences in the chromosomal location of the TEs among the 3 species indicate that they have participated in the karyotype differentiation in Omophoita.
review-article	CGR495712	"Hox Genes in Reptile Development, Epigenetic Regulation, and Teratogenesis Hox Genes in Reptile Development, Epigenetic Regulation, and Teratogenesis Reptiles are ancestral organisms presenting a variety of shapes, from the elongated vertebral column of the snake to the turtle dorsalized ribs or retractile neck. Body plans are specified by a conserved group of homeobox-containing genes (Hox genes), which encode transcription factors important in cell fate and vertebral architecture along the anteroposterior axis during embryonic development; thus, dysregulation of these genes may cause congenital malformations, from mild-sublethal to embryonic-lethal. The genetic pool, maternal transfer, and environmental conditions during egg incubation affect development; environmental factors such as temperature, moisture, oxygen, and pollution may alter gene expression by epigenetic mechanisms. Thus, in this review, we present information regarding Hox genes and development in reptiles, including sex determination and teratogenesis. We also present some evidence of epigenetic regulation of Hox genes and the role of the environment in epigenetic modulation of gene expression. So far, the evidence suggests that the molecular instructions encoded by Hox genes to build a snake, a lizard, or a turtle represent the interplay between genome and epigenome after years of evolution, with occasional environmentally induced molecular mistakes leading to abnormal body shapes."
research-article	CHE346352	One-Year Surveillance of ESKAPE Pathogens in an Intensive Care Unit of Monterrey, Mexico One-Year Surveillance of ESKAPE Pathogens in an Intensive Care Unit of Monterrey, Mexico Background: Bacterial species from the ESKAPE group (i.e. Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa and Enterobacter species) are frequently resistant to antibiotics. The purpose of this study was to monitor the incidence of ESKAPE pathogens at the intensive care unit (ICU) of a tertiary care hospital in Monterrey, Mexico. Methods: All clinically relevant organisms isolated from June 2011 to June 2012 were included. Identification and susceptibility testing was performed using panels from Sensititre. Resistance to oxacillin, for S. aureus, and the production of extended spectrum β-lactamases (ESBLs), for K. pneumonia, were determined as defined by the Clinical Laboratory Standards Institute. Also, the presence of vanA and vanB genes was determined in E. faecium vancomycin (VAN)-resistant isolates. Results: The majority of pathogens (64.5%) isolated in the ICU unit were from the ESKAPE group. The organisms most frequently isolated were A. baumannii (15.8%) and P. aeruginosa (14.3%). A high resistance to carbapenems was detected for A. baumannii (75.3%) while 62% of S. aureus isolates were confirmed to be methicillin resistant. Of the K. pneumoniae isolates, 36.9% were ESBL producers. We detected three E. faecium VAN-resistant isolates, all of which contained the vanA gene. Conclusion: The presence of the ESKAPE group of pathogens is a major problem in the ICU setting. The results of this study support the implementation of special antimicrobial strategies to specifically target these microorganisms.
research-article	CHE346484	"Comparative Efficacy of Sunitinib versus Sorafenib as First-Line Treatment for Patients with Metastatic Renal Cell Carcinoma Comparative Efficacy of Sunitinib versus Sorafenib as First-Line Treatment for Patients with Metastatic Renal Cell Carcinoma Background: This study investigated the efficacy and toxicity of sorafenib and sunitinib as primary treatment for patients with metastatic renal cell carcinoma (mRCC). Methods: We identified 49 and 220 patients treated with sorafenib and sunitinib, respectively, as first-line therapy in the Asan Medical Centre from April 2005 to March 2011. Results: Disease control rates of 71 and 74% were achieved with sorafenib and sunitinib, respectively (p = 0.687). After a median follow-up of 27.6 months, progression-free survival (PFS) and overall survival (OS) were not significantly different between the sorafenib and the sunitinib group (PFS 8.6 vs. 9.9 months, respectively, p = 0.948, and OS 25.7 vs. 22.6 months, p = 0.774). Patients treated with sorafenib required dose reduction due to toxicities less frequently than those treated with sunitinib (37 vs. 54%, p = 0.034). Haematological toxicity of grade 3 or 4 was more common in the sunitinib group than in the sorafenib group (45 vs. 4%, p &lt; 0.001). Multivariate analysis showed old age, Heng's risk group, and bone and liver metastases, but not the type of vascular endothelial growth factor tyrosine kinase inhibitor, were independent prognostic factors affecting OS. Conclusion: The results of this study indicate that sorafenib has comparable efficacy to sunitinib in the treatment of mRCC patients and fewer and less severe toxicities, but the number of patients included in the study was small."
research-article	CHE346529	Oxacillin Resistance and Antimicrobial Susceptibility Profile of Staphylococcussaprophyticus and Other Staphylococci Isolated from Patients with Urinary Tract Infection Oxacillin Resistance and Antimicrobial Susceptibility Profile of Staphylococcussaprophyticus and Other Staphylococci Isolated from Patients with Urinary Tract Infection Background:Staphylococcus saprophyticus is the second most frequent community-acquired causative agent of urinary tract infection (UTI). The objective of this study was to evaluate the susceptibility profile and resistance detection in Staphylococcus species. isolated from patients with UTI. Materials and Methods: The isolates were investigated using the disk diffusion method, Vitek I system, E-test®, and detection of the mecA gene. Results: Most isolates (76.2%) were resistant to oxacillin by the disk diffusion method, followed by those resistant to penicillin (72.2%). The oxacillin disk diffusion method, E-test, and Vitek I method showed higher sensitivity (94.4%) and lower specificity (28.9, 26.5, and 24.0%, respectively) than the cefoxitin disk diffusion test (sensitivity: 83.5%, specificity: 85.5%) for the detection of oxacillin resistance. Conclusions: The large number of oxacillin-resistant isolates indicates that the breakpoint value recommended by the Clinical and Laboratory Standards Institute may overestimate oxacillin resistance in S. saprophyticus. Thus, changes in these guidelines are necessary for the correct detection of this resistance.
research-article	CHE370193	"Prognostic Factors for the Selection of Patients Eligible for Second-Line Chemotherapy in Advanced Biliary Tract Cancer Prognostic Factors for the Selection of Patients Eligible for Second-Line Chemotherapy in Advanced Biliary Tract Cancer Background: The efficacy of second-line chemotherapy (CT2) after the failure of first-line chemotherapy (CT1) for advanced biliary tract cancer (BTC) has not been established. We investigated the favorable prognostic factors for CT2 to determine which patients could be expected to benefit from CT2. Methods: From a total of 168 patients who were treated with chemotherapy at our institution between January 2003 and December 2012, we retrospectively reviewed 50 patients who received CT2. Patients were treated with various chemotherapeutic combinations as CT1 and CT2. Results: The median overall survival (OS) of patients who received and CT2 was 10.2 and 5.5 months, respectively. Good performance status (PS), a serum albumin level &gt;3.5 g/dl and metastasis to only 1 organ were independent prognostic factors that affected the OS of the patients who received CT2. Patients who had only 1 metastastic organ, a good PS and a serum albumin level &gt;3.5 g/dl at the beginning of CT2 demonstrated prolonged survival compared to patients who did not exhibit these 3 factors (9.5 vs. 4.3 months, p &lt; 0.005). Conclusions: CT2 should be considered for patients with advanced BTC, especially for those who have only 1 metastatic organ and remain in generally good medical condition after the failure of CT1."
research-article	CHE371413	"Effects of Microtubule and Actin Inhibitors on Cryptococcus neoformans Examined by Scanning and Transmission Electron Microscopy Effects of Microtubule and Actin Inhibitors on Cryptococcus neoformans Examined by Scanning and Transmission Electron Microscopy Background:Cryptococcus neoformans is one of the most important human fungal pathogens. Its cells contain rich microtubules required for nuclear division and rich F-actin cytoskeletons for cell division. Disruption of microtubules by a microtubule inhibitor should block nuclear division, and disruption of F-actin by an actin inhibitor should block cell division. We investigated the effects of microtubule and actin inhibitors to find out whether the cytoskeletons of C. neoformans can become a new anti-fungal target for the inhibition of cell division, when examined at the ultrastructural level. Methods: Cells treated with the microtubule inhibitors vincristine (VIN) and methyl benzimidazole-2-ylcarbamate (BCM) and the actin inhibitor latrunculin A (LA), in yeast extract peptone dextrose medium, were examined by scanning (SEM) and transmission electron microscopy (TEM), and the cell number was counted using a Bürker chamber. Results: After 2 days of inhibition with VIN, BCM or LA, the cells did not divide, but later, resistant, proliferating cells appeared in all samples. With combined microtubule and actin inhibitors (VIN + LA or BCM + LA), cells did not divide during 6 or even 14 days, and no resistant cells originated. TEM showed that the inhibited cells were without cytoplasm and were dead; only empty cell walls persisted with reduced capsules, shown on SEM. Conclusion: Combined microtubule and actin inhibitors (VIN + LA or BCM + LA), have lethal effects on C. neoformans cells and no resistant cells originate."
research-article	CHE371414	"The Optimal Treatment Modality in Patients with T4N2M0 Non-Small Cell Lung Cancer: The Best Choice May Be Definitive Chemoradiotherapy Followed by Consolidation Chemotherapy The Optimal Treatment Modality in Patients with T4N2M0 Non-Small Cell Lung Cancer: The Best Choice May Be Definitive Chemoradiotherapy Followed by Consolidation Chemotherapy Background: Stage IIIB non-small cell lung cancer (NSCLC) consists of T4N2M0 and TXN3M0 NSCLC. In the present study, we aimed to evaluate the efficacy of different treatment strategies on the survival of patients with radiologically confirmed T4N2M0 NSCLC. Methods: A total of 145 patients were evaluated in three groups according to the treatment protocol: induction chemotherapy followed by chemoradiotherapy (induction group); chemoradiotherapy (CRT group), and chemoradiotherapy followed by consolidation chemotherapy (consolidation group). The groups were compared regarding survival. Results: The median progression-free survival (PFS) was 10.9, 10.8 and 17.1 months for the induction, CRT and consolidation groups, respectively (p = 0.021). The median overall survival (OS) was 17.6, 13.8 and 25.2 months for the induction, CRT and consolidation groups, respectively (p = 0.001). Conclusions: The patients with T4N2M0 NSCLC who were treated with chemoradiotherapy followed by consolidation chemotherapy had the best outcome in terms of PFS and OS."
research-article	CHE371738	In vitro Anticancer Activity of Myricanone in Human Lung Adenocarcinoma A549 Cells In vitro Anticancer Activity of Myricanone in Human Lung Adenocarcinoma A549 Cells Background: Lung cancer is the leading cause of cancer-related mortality worldwide. Despite the new chemotherapy regimens and cytotoxic combinations investigated in multiple clinical trials in recent years, no significant improvement in the prognosis of patients with lung cancer has been achieved. Recently, scientists have focused on the potential role of extracts of traditional Chinese medicinal herbs as alternative and complementary medications for cancer treatment. Myricanone, a typical large ring of cyclic diarylheptanoids, is abundant in the bark of Myrica. Our studies have found that myricanone exerts potent anticancer activity. This study aimed to investigate the underlying mechanism of the effect of myricanone on A549 cells in vitro. Methods: A549 cells were treated with different concentrations of myricanone for the following assays. Tritiated thymidine incorporation was used to measure growth inhibition. Flow cytometry was used to detect apoptosis and cell cycle progression, and colony formation was performed to observe the effect of myricanone on the A549 proliferation rate. Results: Myricanone induced significant dose-dependent growth inhibitory effects on A549 cells with an IC50 of 3.22 µg/ml. A significant decrease in colony formation was observed. This decrease induced cell apoptosis, G1 phase arrest and the emergence of the sub-G&
meta-analysis	CHE437253	"Proteinuria in Patients with Solid Tumors Treated with Ramucirumab: A Systematic Review and Meta-Analysis Proteinuria in Patients with Solid Tumors Treated with Ramucirumab: A Systematic Review and Meta-Analysis Background: We performed a systematic review and meta-analysis of the risk of proteinuria associated with ramucirumab. Methods: Eligible studies included randomized phase II and III trials of patients with solid tumors on ramucirumab, describing events of all-grade and high-grade proteinuria. Results: Our search strategy yielded 170 potentially relevant citations from PubMed/Medline, CENTRAL Cochrane database, ASCO and ESMO meeting libraries. After exclusion of ineligible studies, a total of 11 clinical trials were considered eligible for the meta-analysis. The relative risk (RR) of all-grade proteinuria was 3.31 (95% CI 2.48-4.42; p &lt; 0.00001). Moreover, the RR of high-grade proteinuria was 5.28 (95% CI 2.32-12.01; p &lt; 0.0001). Conclusions: Our meta-analysis has demonstrated that ramucirumab use is associated with an increased risk of all-grade and high-grade proteinuria. Early detection strategies should be employed in those patients to prevent the progression to more sinister renal disease."
case-report	CHE441380	Two Fatal Cases of Accidental Intrathecal Vincristine Administration: Learning from Death Events Two Fatal Cases of Accidental Intrathecal Vincristine Administration: Learning from Death Events We report 2 cases of accidental intrathecal vincristine administration. These injections were scheduled as intravenous injections of vincristine at the same time as other intrathecal drugs were scheduled. The mistakes were recognized immediately after administration, and a lumbar puncture was performed to lavage the cerebrospinal fluid (CSF) immediately after the incident. However, both cases developed progressive sensorimotor and radiculo-myelo-encephalopathy and the patients died 3 and 6 days after the incidents due to decerebration. A number of cases of accidental intrathecal vincristine administration have occurred in recent years in other settings, and we add our events to emphasize the need for a preventative and strictly followed protocol in oncology treatment units to prevent further unnecessary deaths. The best ‘cure' for mistakenly administered vincristine via lumbar puncture is prevention, which can be improved by strict adherence to a comprehensive guideline. Oncologic treatment centers should be aware of this guideline and evaluate their protocol for vincristine administration to prevent future incidents. Based on our past experiences, we strongly recommend ‘time-independent' procedures to prevent this type of incident.
meta-analysis	CHE442344	"The Efficacy of Single-Agent Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor Therapy in Biologically Selected Patients with Non-Small-Cell Lung Cancer: A Meta-Analysis of 19 Randomized Controlled Trials The Efficacy of Single-Agent Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor Therapy in Biologically Selected Patients with Non-Small-Cell Lung Cancer: A Meta-Analysis of 19 Randomized Controlled Trials Objective: To determine the efficacy of first-generation single-agent epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI) therapy in advanced non-small-cell lung cancer patients with known EGFR mutation status, we undertook this pooled analysis. Method: We searched for randomized controlled trials (RCTs) in Medline, Embase, the Cochrane Controlled Trials Register, the Science Citation Index, and the American Society of Clinical Oncology annual meetings. Results: Out of 2,129 retrieved articles, 19 RCTs enrolling 2,016 patients with wild-type EGFR tumors and 1,034 patients with mutant EGFR tumors were identified. For these EGFR mutant patients, single-agent EGFR-TKI therapy improved progression-free survival (PFS) over chemotherapy: the summary hazard ratios (HRs) were 0.41 (p &lt; 0.001) for the first-line setting and 0.46 (p = 0.02) for the second-/third-line setting. For those EGFR wild-type patients, single-agent EGFR-TKI therapy did not do as well as chemotherapy in the first-line setting (HR = 1.65, p = 0.03) and in the second-/third-line setting (HR = 1.27, p = 0.006). No statistically significant difference was observed in terms of overall survival (OS). Using platinum-based doublet chemotherapy as a common comparator, indirect comparison showed the superior efficacy of single-agent EGFR-TKI therapy over EGFR-TKIs added to chemotherapy in PFS [HR = 1.35 (1.03, 1.77), p = 0.03]. Additionally, a marginal trend towards the same direction was found in the OS analysis [HR = 1.16 (0.99, 1.35), p = 0.06]. Interestingly, for those EGFR wild-type tumors, single-agent EGFR-TKI therapy was inferior to EGFR-TKIs added to chemotherapy in PFS [HR = 0.38 (0.33, 0.44), p &lt; 0.001] and OS [HR = 0.83 (0.71, 0.97), p = 0.02]. Conclusions: For these EGFR mutant patients, single-agent EGFR-TKI therapy prolonged PFS over chemotherapy. However, single-agent EGFR-TKI therapy was inferior to chemotherapy in PFS for those EGFR wild-type patients. Single-agent EGFR-TKI therapy could improve PFS over the combination of EGFR-TKIs and chemotherapy in these EGFR mutant patients. However, EGFR-TKIs combined with chemotherapy could provide additive PFS and OS benefit over single-agent EGFR-TKI therapy in those EGFR wild-type patients."
research-article	CHE443983	"Weight Loss Associated with Platinum-Based Chemotherapy in Patients with Advanced Lung Cancer Weight Loss Associated with Platinum-Based Chemotherapy in Patients with Advanced Lung Cancer Background: We examined whether the weight loss that occurs with platinum-based chemotherapy in lung cancer patients is associated with chemotherapy side effects, treatment completion rates and therapeutic effect. Methods: We retrospectively reviewed charts of advanced lung cancer patients treated with ≥2 cycles of platinum-based chemotherapy. Patients were divided into 2 groups based on ≥5 or &lt;5% weight loss. Relationships between weight loss and other variables were investigated. Results: Among 114 patients, 18 (15.8%) experienced ≥5% weight loss. Significantly more patients with small-cell lung cancer (SCLC) than with non-SCLC were found to have ≥5% weight loss (30.8 vs. 11.4%, p = 0.023). Patients with ≥5% weight loss experienced higher incidences of grade 3-4 leukopenia (p = 0.008) and neutropenia (p = 0.005), and treatment completion rates were lower in this group (p = 0.035). Weight loss was not significantly associated with therapeutic effect. Conclusion: The weight loss in patients with advanced lung cancer receiving platinum-based chemotherapy is associated with SCLC, grade 3-4 leukopenia, neutropenia and a decrease in treatment completion rate."
research-article	CHE444122	Efficacy and Safety Assessment of Paclitaxel in Patients with Docetaxel-Resistant Esophageal Squamous Cell Carcinoma Efficacy and Safety Assessment of Paclitaxel in Patients with Docetaxel-Resistant Esophageal Squamous Cell Carcinoma Background: Incomplete cross-resistances between paclitaxel (PTX) and docetaxel (DTX) has been demonstrated in several types of cancer. The objective of the present study was to assess the existence of cross-resistance between PTX and DTX in esophageal squamous cell carcinoma. Methods: Patients in the PTX group received PTX without DTX pretreatment, patients in the prior DTX (Pr-DTX) group received PTX after the development of resistance to DTX, and patients in the DTX group received DTX without subsequent PTX treatment. Results: A total of 73 patients were enrolled. The response rates to PTX in the PTX and Pr-DTX groups were 22.7 and 20.0%, respectively. The median progression-free survival times from the first day of PTX treatment in the PTX and Pr-DTX groups were 113 (95% CI 56-154) and 97 days (95% CI 36-189), respectively. The median overall survival times from the first day of DTX treatment in the Pr-DTX and DTX groups were 315 (95% CI 124-453) and 148 days (95% CI 139-177), respectively. Conclusions: There is no or incomplete clinical cross-resistance between PTX and DTX in esophageal squamous cell carcinoma. Replacement of DTX with PTX is a suitable treatment option for patients with DTX-resistant esophageal squamous cell carcinoma.
meta-analysis	CHE445425	Efficacy and Safety of Tigecycline for Patients with Hospital-Acquired Pneumonia Efficacy and Safety of Tigecycline for Patients with Hospital-Acquired Pneumonia Background: Tigecycline is an antibiotic agent with a broad spectrum, which has an antibacterial effect against many multidrug-resistant organisms. However, its clinical efficacy in the treatment of hospital-acquired pneumonia (HAP) is disputed. Materials and Methods: In this report, a systematic review and meta-analysis were conducted to evaluate the efficacy and safety of tigecycline for the treatment of HAP. The primary outcome was the rate of clinical cure, and the secondary outcomes were mortality and adverse events (AEs). Results: Four trials involving 1,234 patients were included. The standard-dose tigecycline and comparator groups did not differ significantly in their rates of clinical cure. However, high-dose tigecycline was more effective than standard-dose tigecycline or the comparators for the treatment of HAP. There was no significant difference in mortality between the standard-dose or high-dose regimen and the comparators. Although the safety profile of standard-dose tigecycline was similar to the comparators, the high-dose regimen exhibited more AEs compared with the other groups. Conclusion: High-dose tigecycline is efficient for the treatment of HAP but is associated with more AEs.
case-report	CHE447118	Patients with Metastatic Colorectal Cancer and Hyperbilirubinemia Treated with FOLFIRI plus Bevacizumab as First-Line Treatment Patients with Metastatic Colorectal Cancer and Hyperbilirubinemia Treated with FOLFIRI plus Bevacizumab as First-Line Treatment Metastatic colorectal cancer (mCRC) combined with hyperbilirubinemia is typically considered a contraindication to irinotecan-based therapy, a proven first-line treatment of mCRC. Herein, we present 6 consecutive patients with mCRC combined with hyperbilirubinemia who underwent UGT1A1 genotyping before receiving FOLFIRI plus bevacizumab. Dose escalation of irinotecan was performed according to the results of UGT1A1 genotyping in all patients. Improvement in the serum total bilirubin level to a normal range was noted in all 6 patients. Disease control was 100%. The median progression-free survival was 7.5 months and the median overall survival was 8.5 months. FOLFIRI plus bevacizumab as a first-line chemotherapy may achieve effective disease control and be safe in patients with mCRC and hyperbilirubinemia based on UGT1A1 genotyping. More prospective clinical studies are necessary to evaluate the clinical benefits and safety of this treatment approach.
case-report	CHE448750	Ponatinib Induces a Persistent Molecular Response and Graft-versus-Host Disease/Graft-versus-Leukemia Effect in a Patient with Philadelphia-Positive Acute Lymphoblastic Leukemia with a T315I Mutation following Early Relapse after Allogeneic Transplant Ponatinib Induces a Persistent Molecular Response and Graft-versus-Host Disease/Graft-versus-Leukemia Effect in a Patient with Philadelphia-Positive Acute Lymphoblastic Leukemia with a T315I Mutation following Early Relapse after Allogeneic Transplant We describe the case of a patient with a Philadelphia-positive (Ph+) acute lymphoblastic leukemia (ALL) treated with dasatinib plus steroids as the first-line therapy who achieved a molecular complete remission and then underwent a matched, unrelated donor allogeneic transplant. Five months after the transplant, he experienced a disease relapse with an T315I mutation, which was resistant to salvage chemotherapy. Once the details of the T315I mutation were acquired, we initiated ponatinib treatment at a standard dosage and observed a rapid decrease of minimal residual disease (MRD) at molecular assessment. The bone marrow evaluation after 2, 3, 6, 10 and 13 months was negative for MRD. After starting ponatinib, the patient experienced a skin graft-versus-host disease (GVHD), whereas no occurrence of GVHD was observed after transplant, suggesting that the efficacy of ponatinib could be related not only to the direct antileukemic effect, but also to its ability to promote an indirect graft-versus-leukemia effect. Ponatinib was well tolerated but a thyroid dysfunction mimicking a cardiovascular toxicity was observed and solved with hormonal substitutive treatment.
